date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:16	51356/51356	---M--	200	added ('OK')	image/jpeg	etag:%22ce11c8-c89c-589a0c67c3dc8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-7.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/photographer-7.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:16	1684/1684	---M--	200	added ('OK')	image/png	etag:%22ce11c9-694-589a0c67bcc80%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-1.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-1.png	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:16	1522/1522	---M--	200	added ('OK')	image/png	etag:%22ce11ca-5f2-589a0c67cb6e0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-2.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-2.png	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:16	1456/1456	---M--	200	added ('OK')	image/png	etag:%22ce11cb-5b0-589a0c67d8db8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-3.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/why-choose-us-3.png	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:17	14413/14413	---M--	200	added ('OK')	image/png	etag:%22ce11ba-384d-589a0c64be2e0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/awards-1.png	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/awards-1.png	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:17	31517/31517	---M--	200	added ('OK')	image/jpeg	etag:%22ce11b9-7b1d-589a0c651c2c8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/about/awards-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/about/awards-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-about-us.html)
15:31:19	86405/86405	---M--	200	added ('OK')	image/jpeg	etag:%22ce11e1-15185-589a0c710dca8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-1.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-1.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-stripes.html)
15:31:20	193123/193123	---M--	200	added ('OK')	image/jpeg	etag:%22ce11e5-2f263-589a0c73865c0%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-4.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-4.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-stripes.html)
15:31:21	233322/233322	---M--	200	added ('OK')	image/jpeg	etag:%22ce11e3-38f6a-589a0c70ac9f8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-2.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-2.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-stripes.html)
15:31:21	109884/109884	---M--	200	added ('OK')	image/jpeg	etag:%22ce11e4-1ad3c-589a0c7158fc8%22	https://portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-3.jpg	C:/Users/code/Desktop/Adam%20Doe/Adam%20Doe/portotheme.com/html/porto/7.5.0/img/demos/photography/portfolio/portfolio-3.jpg	(from https://portotheme.com/html/porto/7.5.0/demo-photography-portfolio-stripes.html)
